store_id,week_id,price_tropicana_premium_64oz,price_tropicana_premium_96oz,price_florida_natural_64oz,price_tropicana_regular_64oz,price_minute_maid_64oz,price_minute_maid_96oz,price_citrus_hill_64oz,price_tree_fresh_64oz,price_florida_gold_64oz,price_dominicks_64oz,price_dominicks_128oz,is_coupon_promotion,is_feature_ad,profit_per_unit,pct_age_over_60,pct_college_educated,pct_ethnic_population,median_income_log,pct_large_households,pct_working_women,pct_high_value_houses,distance_to_warehouse_store,sales_ratio_vs_warehouse,avg_distance_to_5_competitors,sales_ratio_vs_5_competitors,median_income,has_any_promotion,promotion_type,brand_name,brand_price,income_segment,units_sold,log_sales
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,0,0.0,23.23222222,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,0,No Promotion,Tropicana Premium 96 oz,0.05,Low Income,6048,8.707482918
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,1,0.0,32.51122449,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,1,Coupon Only,Tropicana Premium 64 oz,0.04,Low Income,9408,9.14931567
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,0,0.0,38.28032258,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,0,No Promotion,Minute Maid 96 oz,0.04,Low Income,5952,8.691482577
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,1,1.0,30.28480769,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,1,Coupon + Feature,Minute Maid 64 oz,0.03,Low Income,32640,10.39329381
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,1,0.868424528,43.24,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,1,0,Tropicana Regular 64 oz,0.04,Low Income,6784,8.822322178
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,0,0.0,36.935,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,0,No Promotion,Florida's Natural 64 oz,0.04,Low Income,1408,7.249925537
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,0,0.0,30.89,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,0,No Promotion,Dominicks 128 oz,0.03,Low Income,10240,9.234056899
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,0,0.0,43.65,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,0,No Promotion,Dominicks 64 oz,0.03,Low Income,5248,8.565602331
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,0,0.0,23.13,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,0,No Promotion,Florida Gold 64 oz,0.03,Low Income,2880,7.965545573
83,157,0.03890625,0.046666667,0.044375,0.04046875,0.03109375,0.04,0.03328125,0.03109375,0.03,0.03,0.0271875,0,0.0,36.33,20.08,14.6,10.76,10.45607873,9.82,33.06,5.08,1.346800846,1.6,3.901358126,0.261860719,34755,0,No Promotion,Tree Fresh 64 oz,0.03,Low Income,2304,7.742402022
